login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin
MarcoGorelli,33491632,MDQ6VXNlcjMzNDkxNjMy,https://avatars.githubusercontent.com/u/33491632?v=4,,https://api.github.com/users/MarcoGorelli,https://github.com/MarcoGorelli,https://api.github.com/users/MarcoGorelli/followers,https://api.github.com/users/MarcoGorelli/following{/other_user},https://api.github.com/users/MarcoGorelli/gists{/gist_id},https://api.github.com/users/MarcoGorelli/starred{/owner}{/repo},https://api.github.com/users/MarcoGorelli/subscriptions,https://api.github.com/users/MarcoGorelli/orgs,https://api.github.com/users/MarcoGorelli/repos,https://api.github.com/users/MarcoGorelli/events{/privacy},https://api.github.com/users/MarcoGorelli/received_events,User,False
oxlade39,144005,MDQ6VXNlcjE0NDAwNQ==,https://avatars.githubusercontent.com/u/144005?v=4,,https://api.github.com/users/oxlade39,https://github.com/oxlade39,https://api.github.com/users/oxlade39/followers,https://api.github.com/users/oxlade39/following{/other_user},https://api.github.com/users/oxlade39/gists{/gist_id},https://api.github.com/users/oxlade39/starred{/owner}{/repo},https://api.github.com/users/oxlade39/subscriptions,https://api.github.com/users/oxlade39/orgs,https://api.github.com/users/oxlade39/repos,https://api.github.com/users/oxlade39/events{/privacy},https://api.github.com/users/oxlade39/received_events,User,False
ChristopheBernard,14012015,MDQ6VXNlcjE0MDEyMDE1,https://avatars.githubusercontent.com/u/14012015?v=4,,https://api.github.com/users/ChristopheBernard,https://github.com/ChristopheBernard,https://api.github.com/users/ChristopheBernard/followers,https://api.github.com/users/ChristopheBernard/following{/other_user},https://api.github.com/users/ChristopheBernard/gists{/gist_id},https://api.github.com/users/ChristopheBernard/starred{/owner}{/repo},https://api.github.com/users/ChristopheBernard/subscriptions,https://api.github.com/users/ChristopheBernard/orgs,https://api.github.com/users/ChristopheBernard/repos,https://api.github.com/users/ChristopheBernard/events{/privacy},https://api.github.com/users/ChristopheBernard/received_events,User,False
glemaitre,7454015,MDQ6VXNlcjc0NTQwMTU=,https://avatars.githubusercontent.com/u/7454015?v=4,,https://api.github.com/users/glemaitre,https://github.com/glemaitre,https://api.github.com/users/glemaitre/followers,https://api.github.com/users/glemaitre/following{/other_user},https://api.github.com/users/glemaitre/gists{/gist_id},https://api.github.com/users/glemaitre/starred{/owner}{/repo},https://api.github.com/users/glemaitre/subscriptions,https://api.github.com/users/glemaitre/orgs,https://api.github.com/users/glemaitre/repos,https://api.github.com/users/glemaitre/events{/privacy},https://api.github.com/users/glemaitre/received_events,User,False
WillAyd,609873,MDQ6VXNlcjYwOTg3Mw==,https://avatars.githubusercontent.com/u/609873?v=4,,https://api.github.com/users/WillAyd,https://github.com/WillAyd,https://api.github.com/users/WillAyd/followers,https://api.github.com/users/WillAyd/following{/other_user},https://api.github.com/users/WillAyd/gists{/gist_id},https://api.github.com/users/WillAyd/starred{/owner}{/repo},https://api.github.com/users/WillAyd/subscriptions,https://api.github.com/users/WillAyd/orgs,https://api.github.com/users/WillAyd/repos,https://api.github.com/users/WillAyd/events{/privacy},https://api.github.com/users/WillAyd/received_events,User,False
twoertwein,6618166,MDQ6VXNlcjY2MTgxNjY=,https://avatars.githubusercontent.com/u/6618166?v=4,,https://api.github.com/users/twoertwein,https://github.com/twoertwein,https://api.github.com/users/twoertwein/followers,https://api.github.com/users/twoertwein/following{/other_user},https://api.github.com/users/twoertwein/gists{/gist_id},https://api.github.com/users/twoertwein/starred{/owner}{/repo},https://api.github.com/users/twoertwein/subscriptions,https://api.github.com/users/twoertwein/orgs,https://api.github.com/users/twoertwein/repos,https://api.github.com/users/twoertwein/events{/privacy},https://api.github.com/users/twoertwein/received_events,User,False
mroeschke,10647082,MDQ6VXNlcjEwNjQ3MDgy,https://avatars.githubusercontent.com/u/10647082?v=4,,https://api.github.com/users/mroeschke,https://github.com/mroeschke,https://api.github.com/users/mroeschke/followers,https://api.github.com/users/mroeschke/following{/other_user},https://api.github.com/users/mroeschke/gists{/gist_id},https://api.github.com/users/mroeschke/starred{/owner}{/repo},https://api.github.com/users/mroeschke/subscriptions,https://api.github.com/users/mroeschke/orgs,https://api.github.com/users/mroeschke/repos,https://api.github.com/users/mroeschke/events{/privacy},https://api.github.com/users/mroeschke/received_events,User,False
Sanix-Darker,22576758,MDQ6VXNlcjIyNTc2NzU4,https://avatars.githubusercontent.com/u/22576758?v=4,,https://api.github.com/users/Sanix-Darker,https://github.com/Sanix-Darker,https://api.github.com/users/Sanix-Darker/followers,https://api.github.com/users/Sanix-Darker/following{/other_user},https://api.github.com/users/Sanix-Darker/gists{/gist_id},https://api.github.com/users/Sanix-Darker/starred{/owner}{/repo},https://api.github.com/users/Sanix-Darker/subscriptions,https://api.github.com/users/Sanix-Darker/orgs,https://api.github.com/users/Sanix-Darker/repos,https://api.github.com/users/Sanix-Darker/events{/privacy},https://api.github.com/users/Sanix-Darker/received_events,User,False
simonjayhawkins,13159005,MDQ6VXNlcjEzMTU5MDA1,https://avatars.githubusercontent.com/u/13159005?v=4,,https://api.github.com/users/simonjayhawkins,https://github.com/simonjayhawkins,https://api.github.com/users/simonjayhawkins/followers,https://api.github.com/users/simonjayhawkins/following{/other_user},https://api.github.com/users/simonjayhawkins/gists{/gist_id},https://api.github.com/users/simonjayhawkins/starred{/owner}{/repo},https://api.github.com/users/simonjayhawkins/subscriptions,https://api.github.com/users/simonjayhawkins/orgs,https://api.github.com/users/simonjayhawkins/repos,https://api.github.com/users/simonjayhawkins/events{/privacy},https://api.github.com/users/simonjayhawkins/received_events,User,False
jorisvandenbossche,1020496,MDQ6VXNlcjEwMjA0OTY=,https://avatars.githubusercontent.com/u/1020496?v=4,,https://api.github.com/users/jorisvandenbossche,https://github.com/jorisvandenbossche,https://api.github.com/users/jorisvandenbossche/followers,https://api.github.com/users/jorisvandenbossche/following{/other_user},https://api.github.com/users/jorisvandenbossche/gists{/gist_id},https://api.github.com/users/jorisvandenbossche/starred{/owner}{/repo},https://api.github.com/users/jorisvandenbossche/subscriptions,https://api.github.com/users/jorisvandenbossche/orgs,https://api.github.com/users/jorisvandenbossche/repos,https://api.github.com/users/jorisvandenbossche/events{/privacy},https://api.github.com/users/jorisvandenbossche/received_events,User,False
